unidade,mes,tipo_exame,pacientes_dia,exames_realizados,turno_mais_movimentado,temp_medio_exame,protocolo_emergencia,direcao_centrifuga,quantidade_refrigeradores,alinhamento_refrigeradores,cor_parede_laboratorio,cor_parede_coleta,aromatizador_eucalipto,cheiro_ambiente,musica_ambiente,cor_jaleco_funcionario,elemento_decorativo,janela_virada_para,hora_inicio_turno,cpf_biomedico,mes_nascimento_biomedico,dia_fechamento,chefe_setor,tipo_refrigeracao,tempo_entrega_resultado
Unidade C,jun/2025,sangue,52,72,manhã,20.1,não,norte,2,em_L,verde,verde,não,café,nenhuma,verde_limao,cacto,leste,9,97069094493,set,23,Carlos,controlada,22.17
Unidade E,mai/2025,imagem,56,48,tarde,16.6,não,leste,2,dispersos,azul,amarela,não,lavanda,nenhuma,azul_bebe,nenhum,nenhuma,7,87320570731,nov,3,Ana,climatizada,33.48
Unidade A,mai/2025,,44,67,manhã,18.6,não,sul,1,em_L,cinza,laranja,não,café,pagode_90s,branco,nenhum,norte,12,37306026087,mar,8,Eduardo,seca,41.57
Unidade D,fev/2025,imagem,51,57,noite,10.0,não,norte,2,em_L,grafite,azul_cobalto,não,lavanda,nenhuma,azul_bebe,cacto,nenhuma,8,56594789692,nov,17,Nina,controlada,34.92
Unidade D,jul/2024,urina,56,69,noite,24.4,não,oeste,3,dispersos,azul,verde,não,café,nenhuma,verde_limao,vaso_bambu,leste,12,38100952961,jul,29,1234,controlada,32.59
Unidade E,ago/2025,sangue,66,73,noite,21.9,não,sul,4,dispersos,grafite,branca,não,lavanda,rock,azul_bebe,cacto,nenhuma,9,89708998268,jul,21,Marcos,umida,27.35
Unidade A,jun/2024,genético,55,74,manhã,21.8,não,oeste,4,dispersos,verde,verde,não,eucalipto,nenhuma,branco,vaso_bambu,nenhuma,11,53465558478,jun,14,José,climatizada,40.29
Unidade A,dez/2025,hormonal,56,71,tarde,17.1,,leste,1,dispersos,verde,verde,não,lavanda,jazz,azul_bebe,cacto,sul,9,90283537243,mai,28,Eduardo,controlada,31.08
Unidade F,jan/2024,urina,58,76,manhã,21.0,sim,oeste,2,dispersos,verde,verde,não,eucalipto,jazz,vinho,vaso_bambu,sul,6,37660360118,mai,23,Ana,controlada,33.99
Unidade C,out/2024,urina,48,60,tarde,18.7,,sul,1,em_L,amarela,laranja,não,eucalipto,jazz,vinho,vaso_bambu,leste,11,88476929569,jun,15,Carlos,controlada,23.46
Unidade B,nov/2025,imagem,57,67,tarde,13.9,não,norte,2,em_L,azul_cobalto,branca,não,café,pagode_90s,verde_limao,vaso_bambu,leste,7,43875725482,ago,7,Carlos,controlada,34.1
Unidade A,set/2024,alergia,58,53,manhã,14.3,não,oeste,4,dispersos,grafite,amarela,não,eucalipto,rock,verde_limao,cacto,leste,10,33654648779,ago,19,Carlos,controlada,37.79
Unidade F,out/2025,covid,53,51,manhã,12.5,não,oeste,1,dispersos,azul_cobalto,amarela,não,nenhum,jazz,azul_bebe,vaso_bambu,norte,9,36469516693,fev,6,1113,controlada,23.94
Unidade F,jan/2025,sangue,37,62,tarde,14.5,sim,leste,1,dispersos,amarela,branca,não,eucalipto,rock,azul_bebe,nenhum,norte,10,90550491372,jul,26,Nina,umida,34.0
Unidade E,out/2025,genético,38,69,tarde,19.2,não,norte,2,dispersos,verde,verde,não,café,rock,azul_bebe,samambaia,oeste,10,76538348345,out,13,Carlos,umida,44.0
Unidade A,mai/2024,imagem,51,54,manhã,22.2,sim,norte,2,em_L,azul,roxa,não,lavanda,rock,vinho,nenhum,leste,7,19363276957,fev,29,Ana,umida,47.45
Unidade A,dez/2024,genético,45,63,tarde,15.8,não,sul,2,em_L,laranja,branca,não,nenhum,nenhuma,branco,nenhum,sul,5,70617125462,fev,6,Bianca,seca,41.87
Unidade F,dez/2024,genético,41,64,manhã,15.4,não,leste,4,lado_a_lado,vinho,roxa,não,eucalipto,pagode_90s,vinho,nenhum,nenhuma,5,20153595956,abr,30,Ana,umida,42.3
Unidade D,ago/2024,hormonal,57,78,noite,11.3,não,norte,4,dispersos,vinho,amarela,não,nenhum,rock,azul_bebe,cacto,oeste,6,10979642874,set,18,Ana,controlada,32.46
Unidade E,nov/2024,imagem,56,56,manhã,17.9,não,oeste,1,dispersos,grafite,branca,não,eucalipto,nenhuma,azul_bebe,nenhum,sul,11,97918011075,jun,6,José,umida,36.0
Unidade B,nov/2024,sangue,52,54,manhã,19.1,sim,norte,2,em_L,cinza,verde,não,nenhum,pagode_90s,verde_limao,nenhum,oeste,11,62184156475,mai,17,José,controlada,33.1
Unidade B,fev/2025,urina,50,44,noite,17.6,não,oeste,2,em_L,azul_cobalto,roxa,não,lavanda,nenhuma,azul_bebe,nenhum,leste,10,71465194562,ago,7,Eduardo,umida,21.62
Unidade A,set/2024,imagem,59,55,noite,,não,oeste,4,em_L,verde,azul_cobalto,sim,eucalipto,nenhuma,azul_bebe,samambaia,oeste,10,98303801385,jul,8,Eduardo,seca,38.99
Unidade D,jun/2025,urina,54,76,tarde,14.3,não,leste,1,em_L,grafite,branca,não,café,nenhuma,vinho,vaso_bambu,leste,8,83259527037,dez,30,Ana,umida,17.39
